,PanelA_A,PanelA_B,PanelB_A,PanelB_B,PanelC_A,PanelC_B,PanelD_A,PanelD_B,PanelE_A,PanelE_B,PanelF_A,PanelF_B,PanelF_C,PanelF_D,PanelG_A,PanelG_B,PanelG_C,PanelG_D,PanelH_A,PanelH_B,PanelH_C,PanelH_D,PanelH_E,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor1*Sensor1,Sensor1*Sensor2,Sensor1*Sensor3,Sensor1*Sensor4,Sensor1*Sensor5,Sensor1*Sensor6,Sensor1*Sensor7,Sensor1*Sensor8,Sensor2*Sensor2,Sensor2*Sensor3,Sensor2*Sensor4,Sensor2*Sensor5,Sensor2*Sensor6,Sensor2*Sensor7,Sensor2*Sensor8,Sensor3*Sensor3,Sensor3*Sensor4,Sensor3*Sensor5,Sensor3*Sensor6,Sensor3*Sensor7,Sensor3*Sensor8,Sensor4*Sensor4,Sensor4*Sensor5,Sensor4*Sensor6,Sensor4*Sensor7,Sensor4*Sensor8,Sensor5*Sensor5,Sensor5*Sensor6,Sensor5*Sensor7,Sensor5*Sensor8,Sensor6*Sensor6,Sensor6*Sensor7,Sensor6*Sensor8,Sensor7*Sensor7,Sensor7*Sensor8,Sensor8*Sensor8,Target
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.024087675287996907,0.01198023256411075,0.02742997842749452,0.029320641018408956,0.02600038909006727,0.011637524296652197,0.0005486767037613082,0.026868181411152475,0.0005802161007799769,0.00028857595187898634,0.000660724413518248,0.0007062660800873579,0.0006262889297631178,0.0002803209064139327,1.3216346278290864e-05,0.0006471920294108353,0.00014352597229017963,0.0003286175207899252,0.00035126809832934435,0.0003114907080563738,0.00013942024754438271,6.573274513570172e-06,0.000321887061880324,0.0007524037165328148,0.0008042645506152686,0.000713190111847009,0.0003192170404066131,1.5050190147841486e-05,0.0007369936364939216,0.0008596999897304058,0.000762348074848819,0.0003412196722451513,1.6087552666149234e-05,0.0007877923019738903,0.000676020232834889,0.00030258015975806853,1.426580778244959e-05,0.000698583170832477,0.0001354319717551702,6.385238471029265e-06,0.00031267911397914584,3.010461252503744e-07,1.4741945212731994e-05,0.0007218991723425994,4
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.022880040198355718,0.013617282976597932,0.03250860883775752,0.025802164096199884,0.02600038909006727,0.03126158487532061,0.03657844691742055,0.013434090705576237,0.0005234962394783736,0.0003115639818969457,0.0007437982770005139,0.000590354551725624,0.0005948899475536286,0.0007152663186116447,0.000836916335864003,0.00030737253537194126,0.00018543039566474385,0.0004426789257192765,0.00035135536990656905,0.0003540546557410956,0.0004256978475441747,0.000498099062518982,0.00018293581467111581,0.0010568096485663262,0.0008387924597709933,0.0008452364785584949,0.0010162706343601544,0.0011891144227311019,0.0004367235998385318,0.0006657516720472264,0.0006708663058669609,0.0008066165428603027,0.0009438030897474218,0.0003466286128685118,0.000676020232834889,0.0008128133703304979,0.000951053852163306,0.0003492915854162385,0.0009772866889168742,0.001143500222916352,0.0004199709668151273,0.001337982778890553,0.0004913981737577331,0.00018047479308564985,3
2,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.02414341229213419,0.012352289476039653,0.028246858662796085,0.029320641018408956,0.02600038909006727,0.01859722019955204,0.00018289223458710276,0.011015954378572515,0.0005829043571079764,0.00029822641757181557,0.0006819755546535282,0.0007079003247771088,0.0006277381135574018,0.00044900035476539096,4.415642624666147e-06,0.0002659627283532171,0.00015257905529987995,0.0003489133749916356,0.0003621770454824295,0.0003211643325301741,0.00022971824735451872,2.2591378245396448e-06,0.0001360722573389742,0.0007978850243159782,0.0008282160027495792,0.0007344293158048354,0.0005253130504976429,5.166131100904837e-06,0.00031116610636734753,0.0008596999897304058,0.000762348074848819,0.0005452824174113692,5.3625175553830784e-06,0.000322994843809295,0.000676020232834889,0.00048353496118201146,4.75526926081653e-06,0.00028641910004131556,0.0003458565991506264,3.4012871594044778e-06,0.00020486612928653252,3.344956947226383e-08,2.0147325124067064e-06,0.00012135125087079096,4
3,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.02326090972662717,0.013096403299897464,0.02378894974712079,0.019253887602088546,0.009360140072424217,0.022818675091474897,0.0,0.01235936344913014,0.0005410699213102986,0.0003046342549024171,0.0005533526125590469,0.0004478629413988078,0.00021772537325324523,0.0005307831413840336,0.0,0.0002874900374687916,0.0001715157793935652,0.00031154967996928763,0.0002521566771278473,0.00012258416933199902,0.0002988425717672799,0.0,0.00016186320825982005,0.0005659141300710383,0.00045802976460279643,0.00022266790180891125,0.0005428323150469732,0.0,0.00029401627599775836,0.00037071218779385906,0.00018021908489426083,0.0004393482054398353,0.0,0.00023796579468291312,8.761222217540163e-05,0.00021358599512334253,0.0,0.0001156853730898582,0.0005206919329302969,0.0,0.00028202429888315116,0.0,0.0,0.00015275386486769406,6
4,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.04062298651539162,0.011831409799339188,0.020690716486256644,0.01954709401227264,0.02600038909006727,0.03206023850352223,0.0,0.0,0.0016502270334296893,0.0004806272007366281,0.0008405186968149947,0.0007940613364756437,0.001056213455400738,0.0013023826364088227,0.0,0.0,0.00013998225783989936,0.00024480034579084576,0.00023126967964540686,0.0003076212582668536,0.0003793178199997244,0.0,0.0,0.0004281057487146525,0.00040444338033813804,0.0005379666791949422,0.0006633493053581474,0.0,0.0,0.00038208888432462486,0.0005082320498992128,0.000626684496084232,0.0,0.0,0.000676020232834889,0.0008335786754119339,0.0,0.0,0.0010278588929027292,0.0,0.0,0.0,0.0,0.0,2
5,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.01627520520808738,0.013096403299897464,0.013997135347650761,0.021599538883561264,0.022880342399259197,0.024187795596963393,0.018289223458710275,0.023106636013591128,0.00026488230456535463,0.000213146651193704,0.00022780625010838967,0.0003515369277300222,0.0003723822677792458,0.00039366133687185166,0.00029766086488707536,0.0003760652427897778,0.0001715157793935652,0.00018331212955608486,0.0002828762723109353,0.000299650191700442,0.00031677312607331673,0.00023952304645721536,0.00030261382413792443,0.0001959197979404544,0.00030233166920005244,0.0003202592493630233,0.00033855984873200774,0.00025599673615499713,0.00032342671171113645,0.00046654007998247495,0.0004942048453219944,0.0005224452315042427,0.0003950387932465534,0.0004990926830438586,0.0005235100683073381,0.0005534250451418165,0.00041846369495185463,0.0005286877436860186,0.0005850494558404817,0.000442375998646472,0.0005588985888301752,0.0003344956947226382,0.0004226024294316505,0.0005339166278645866,0
6,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.017752235817725448,0.013840517123755275,0.02390718241275654,0.01954709401227264,0.02600038909006727,0.011637524296652197,0.0,0.009941227122126415,0.0003151418765281343,0.0002457001238201708,0.0004244059399286325,0.00034700462245711297,0.00046156503847949015,0.0002065920756486793,0.0,0.0001764790081895562,0.000191559914252963,0.00033088776756449783,0.00027054188939651364,0.0003598588304253759,0.0001610693543059328,0.0,0.00013759172421493103,0.0005715533709168156,0.0004673159421907031,0.0006215960447788832,0.00027822041619295036,0.0,0.00023766673021531894,0.00038208888432462486,0.0005082320498992128,0.00022747978149676752,0.0,0.0001943221011535596,0.000676020232834889,0.00030258015975806853,0.0,0.0002584757732080165,0.0001354319717551702,0.0,0.00011569127217228397,0.0,0.0,9.882799669370185e-05,5
7,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.018671896385990663,0.01205464394649653,0.028026515967747634,0.028050079907611235,0.014126878072269882,0.015744885813117677,0.0038407369263291575,0.03116709043693687,0.0003486397146491712,0.0002250830627389928,0.0005233082022100966,0.0005237481856536756,0.00026377560362294677,0.0002939868765117876,7.171384193426628e-05,0.0005819486832912857,0.00014531444067680544,0.0003378496710519974,0.00033813372595702974,0.0001702944852367827,0.0001897989924553781,4.629871613905947e-05,0.00037570817806553095,0.0007854855972904131,0.0007861460124272634,0.0003959271738668957,0.0004412742936517058,0.0001076424747936821,0.0008735049577990458,0.0007868069828233754,0.0003962600587722511,0.00044164530519416535,0.00010773297768764603,0.0008742393772438251,0.0001995686840687796,0.00022242608214372527,5.4257622265916596e-05,0.0004402936864700158,0.0002479014292681143,6.0471964343277145e-05,0.000490722280056683,1.4751260137268345e-05,0.00011970459512738379,0.0009713875263042017,3
8,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.02415270179282374,0.01205464394649653,0.028217300496387144,0.029320641018408956,0.02600038909006727,0.01471804543400131,0.0,0.014508817962022337,0.0005833530038930711,0.0002911522204583986,0.000681524044287736,0.0007081726988920672,0.0006279796441897825,0.0003554805623406647,0.0,0.00035042715360309015,0.00014531444067680544,0.00034014951061524685,0.0003534498877599614,0.00031342543295113386,0.0001774207972952448,0.0,0.0001748986346167127,0.0007962160473034102,0.0008273493383631403,0.000733660791977414,0.0004153035107306937,0.0,0.0004093996762817636,0.0008596999897304058,0.000762348074848819,0.00043154252666298545,0.0,0.00042540784306590077,0.000676020232834889,0.000382674907929322,0.0,0.0003772349122495376,0.0002166208613973268,0.0,0.00021354144195869906,0.0,0.0,0.000210505798655102,4
10,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.020919955552861177,0.013021991917511683,0.03592392061100845,0.029320641018408956,0.02600038909006727,0.023389141968761767,0.025787805076781484,0.01746431791724911,0.0004376445403336872,0.0002724194921240619,0.0007515268224668103,0.0006133865068865136,0.0005439269841213039,0.0004892998104060562,0.0005394797360121165,0.00036535275458988845,0.0001695722734997396,0.0004678010038418834,0.00038181315035798295,0.0003385768565830149,0.00030457321767474903,0.0003358085892802152,0.00022742020676327237,0.0012905280720660378,0.0010533123802092014,0.0009340359135269067,0.0008402296792454036,0.0009263990623104587,0.0006273867703846694,0.0008596999897304058,0.000762348074848819,0.0006857846353946667,0.0007561149753090139,0.0005120649962830287,0.000676020232834889,0.0006081267916706279,0.0006704929657751306,0.0004540790610411101,0.000547051962034893,0.0006031546340035976,0.00040847541115412924,0.0006650108906780769,0.00045036642624896245,0.0003050024003147483,4
