,PanelA_A,PanelA_B,PanelB_A,PanelB_B,PanelC_A,PanelC_B,PanelD_A,PanelD_B,PanelE_A,PanelE_B,PanelF_A,PanelF_B,PanelF_C,PanelF_D,PanelG_A,PanelG_B,PanelG_C,PanelG_D,PanelH_A,PanelH_B,PanelH_C,PanelH_D,PanelH_E,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor1*Sensor1,Sensor1*Sensor2,Sensor1*Sensor3,Sensor1*Sensor4,Sensor1*Sensor5,Sensor1*Sensor6,Sensor1*Sensor7,Sensor1*Sensor8,Sensor2*Sensor2,Sensor2*Sensor3,Sensor2*Sensor4,Sensor2*Sensor5,Sensor2*Sensor6,Sensor2*Sensor7,Sensor2*Sensor8,Sensor3*Sensor3,Sensor3*Sensor4,Sensor3*Sensor5,Sensor3*Sensor6,Sensor3*Sensor7,Sensor3*Sensor8,Sensor4*Sensor4,Sensor4*Sensor5,Sensor4*Sensor6,Sensor4*Sensor7,Sensor4*Sensor8,Sensor5*Sensor5,Sensor5*Sensor6,Sensor5*Sensor7,Sensor5*Sensor8,Sensor6*Sensor6,Sensor6*Sensor7,Sensor6*Sensor8,Sensor7*Sensor7,Sensor7*Sensor8,Sensor8*Sensor8,Target
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.14096887036084638,-0.06614177671884507,0.6053960828394964,1.0595975322730675,0.4035977088671232,-1.5109684245226702,-1.1413412521301936,0.5566144821646818,0.01987222241081311,-0.009323931547714917,0.08534200191876519,0.14937026716167479,0.05689471309922411,-0.21299951195586858,-0.16089358700902734,0.07846531477724267,0.004374734627525555,-0.040041972537633405,-0.07008366339144446,-0.0266946695441267,0.09993813616400356,0.07549033825840232,-0.03681547079781195,0.3665044171174064,0.641476195424512,0.24433647199115188,-0.9147343655001898,-0.6909635232227452,0.3369722271542331,1.1227469303991744,0.4276511363466677,-1.601018413966746,-1.2093623742386062,0.5897873317291482,0.16289111060279113,-0.6098233943079164,-0.4606427143952797,0.2246483297239258,2.2830255799045203,1.7245305935738904,-0.8410269071828712,1.302659853814118,-0.6352870700276372,0.3098196817554569,4
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.019535576448509742,0.014758837514443512,1.330738423348534,0.4055889494628508,0.4035977088671232,1.0932769274161962,1.1549264492625488,-0.2507598560904662,0.0003816387471755685,-0.00028832239855454476,-0.025996742202294608,-0.007923413928902275,-0.007884513896017064,-0.021357794994930936,-0.02256215394197443,0.004898738338872603,0.00021782328477774516,0.019640152164427757,0.005986021402776056,0.005956633006371549,0.016135496530025693,0.017045371805799146,-0.003700923971184429,1.770864751376142,0.5397327991357823,0.5370829787649162,1.4548656146731584,1.536905002175165,-0.3336957755329323,0.16450239592637894,0.16369477074503,0.4434210404627084,0.46842540526325765,-0.10170542659918783,0.16289111060279113,0.44124406306246494,0.4661256688324065,-0.10120610339396169,1.1952544400205987,1.2626544398414568,-0.27414996498591243,1.3338551032061987,-0.28960919021214987,0.06288050542651132,3
2,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.14837676790589344,-0.047755273484006815,0.7220649037467703,1.0595975322730675,0.4035977088671232,-0.5873697822652818,-1.1646536145808812,-0.39608723697639286,0.02201566525419937,-0.007085773130018946,0.10713765663622583,0.15721965711973837,0.05988452357592749,-0.08715202985811088,-0.1728075390614273,-0.058770144031332856,0.0022805661455322845,-0.034482406951630074,-0.050601369936679075,-0.01927391896446803,0.02805000458832007,0.05561835187844705,0.018915254325332257,0.5213777252228328,0.7650981901510678,0.2914237408055564,-0.4241191052951422,-0.8409555001106722,-0.28600069264268335,1.1227469303991744,0.4276511363466677,-0.6223755718200615,-1.23406409596281,-0.4196930588650436,0.16289111060279113,-0.23706109838004874,-0.4700515304686572,-0.15985990135518144,0.34500326111836455,0.6840823400108457,0.23264967414088095,1.3564180419563119,0.46130443223391004,0.1568850992955932,4
5,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.8973714355366031,-0.010982267014330152,-1.3131152188561,-0.3755879688937977,-0.052305834990734594,0.15453732381032573,-0.010691673271838162,0.3305496674532403,0.8052754933170239,0.009855172716095734,1.1783520889698593,0.3370419148165043,0.04693776223257619,-0.13867738011165687,0.009594402192237741,-0.2966258295986611,0.00012061018877404411,0.014420981954058264,0.004124807361761614,0.0005744366462757404,-0.001697170153764998,0.00011741881070130358,-0.0036301847094695225,1.7242715779915032,0.49319027797369724,0.06868358796130951,-0.20292531177663184,0.014039398888287683,-0.43404979892067275,0.14106632237776834,0.01964544232546414,-0.05804235956820336,0.0040156638482458,-0.1241504782172828,0.0027359003740779556,-0.008083203759132618,0.0005592368979316143,-0.017289676362051382,0.023881784450457466,-0.0016522625744842588,0.051082260994616886,0.00011431187735173854,-0.0035341290445248023,0.10926308265344777,0
6,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.7010621505928523,0.02579073945534651,0.10226179267687853,-0.757092975533091,0.4035977088671232,-1.5109684245226702,-1.1763097958062252,-0.4606771840368047,0.49148813899387506,-0.01808091126794515,-0.07169187229753285,0.5307692296259704,-0.28294707775273326,1.0592827731737569,0.8246662752113512,0.32296333736990146,0.0006651622416535672,0.002637407251166036,-0.019525987675446978,0.010409083354166768,-0.038968992962119586,-0.03033789946241021,-0.011881205226515944,0.010457474241488888,-0.07742168490108602,0.04127262522903293,-0.15451433976984708,-0.12029154846251752,-0.047109674684939935,0.5731897736015494,-0.3055609903245485,1.143943580458415,0.8905758834556576,0.3487754600226298,0.16289111060279113,-0.6098233943079164,-0.47475593850534603,-0.18592825600461244,2.2830255799045203,1.777366958919916,0.696068678977631,1.3837047357096832,0.5418990842869206,0.21222346789208002,5
7,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,-0.5788318410995732,-0.0624644760718774,0.6905950244230976,0.8234277662582672,-1.331368555258614,-0.9658938159773263,-0.9315299900740039,0.814974270406329,0.3350463002707216,0.03615642768800503,-0.3997383894410263,-0.4766262099557818,0.7706385120224224,0.5590900958088482,0.5391992191940028,-0.4717330573880768,0.003901810770934144,-0.04313765637843417,-0.051434984002358984,0.08316323926280168,0.06033405115609005,0.05818753277521381,-0.05090694081299187,0.4769214877579388,0.5686551183497848,-0.9194364999349668,-0.6670414634349806,-0.6433099762460046,0.5628171761754549,0.6780332862450795,-1.0962858355230969,-0.7953437873328836,-0.7670476589292229,0.6710724430386444,1.7725422299314093,1.2859606543109625,1.2402097370648977,-1.0850311169638174,0.932950863743241,0.8997590568099005,-0.7871786079661065,0.8677481224072738,-0.7591729740221762,0.6641830614243283,3
8,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.14961141749673482,-0.0624644760718774,0.7178433345692046,1.0595975322730675,0.4035977088671232,-1.1021624681136621,-1.1763097958062252,-0.18616990903005431,0.02238357624538229,-0.00934539880830445,0.10739755882548156,0.15852788877941584,0.0603828253220448,-0.16489608916618478,-0.17598937596586403,-0.027853143985224597,0.003901810770934144,-0.04483970779555476,-0.06618720470049136,-0.02521051942819496,0.06884600111680718,0.07347757509325294,0.01162900582791142,0.515299052985435,0.7606250258681991,0.28971992515766676,-0.7911799813477358,-0.8444061463079608,-0.13364082829457966,1.1227469303991744,0.4276511363466677,-1.1678486313772298,-1.246414956824912,-0.19726517619174702,0.16289111060279113,-0.4448302469300078,-0.47475593850534603,-0.07513774874453068,1.2147621061183993,1.296484507812067,0.20518948642506063,1.3837047357096832,0.21899348767640672,0.0346592350282587,4
10,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.28004664011600294,-0.014659567661297819,1.8185215528654577,1.0595975322730675,0.4035977088671232,0.04855059437095283,0.4672117569672604,-0.008547554613921773,0.07842612064026207,0.004105362669099665,-0.5092708508585077,-0.29673672878828056,-0.11302618232675458,-0.013596430829220267,-0.13084108276137582,0.002393713950836831,0.0002149029240161688,-0.026658739747759556,-0.015533241718101233,-0.005916567921082371,-0.000711730723177208,-0.006849122363415386,0.0001253034552014246,3.3070206382361955,1.9269009498016256,0.7339511322619818,0.08829030226800609,0.8496346497971012,-0.015543912289711331,1.1227469303991744,0.4276511363466677,0.05144408998585231,0.4950564247314733,-0.009056967775880784,0.16289111060279113,0.019594908652253613,0.18856559466776948,-0.0034497734585954357,0.002357160213772797,0.022683408497857657,-0.0004149888569240824,0.21828682584843442,-0.003993518008944005,7.306068987797539e-05,4
16,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,-0.9529306671244571,-0.029368770249168483,0.5079162127393404,-0.757092975533091,0.4035977088671232,-0.027154212371455797,0.8402095561782643,-0.9773967605200993,0.9080768563462628,0.02798640182616503,-0.4840089354490273,0.7214571142499886,-0.38460063396065014,0.02587608171037056,-0.8006614528932974,0.9313913470477014,0.0008625246659484438,-0.014916874557769471,0.022234889655690683,-0.011853168384809331,0.0007974858244344138,-0.024675921416555266,0.028704940901996344,0.2579788791634749,-0.38453979682432565,0.20499381975806413,-0.013792064707629571,0.4267560556814661,-0.49643566094706887,0.5731897736015494,-0.3055609903245485,0.02055826344256294,-0.6361167529583399,0.7399802216985659,0.16289111060279113,-0.010959377899210853,0.33910665184180994,-0.39447509320006036,0.000737351249514123,-0.02281522872499121,0.026540439206335698,0.7059520982932759,-0.8212180983666659,0.9553044274751843,2
17,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-0.34424841883974533,-0.03672337154310382,-1.35072556243805,1.0595975322730675,1.3154047965828393,-0.37539632338653667,-1.0597479835527865,-0.008547554613921773,0.11850697387366473,0.012641962588177987,0.4649851391557244,-0.3647647750914995,-0.45282602135785927,0.12922959076406895,0.3648165677066552,0.0029424821607889405,0.0013486060174928473,0.049603196682180384,-0.03891199386381979,-0.0483060990744925,0.013785818659638939,0.03891751894206405,0.0003138950238720206,1.8244595450235868,-1.431225472737509,-1.7767508836980643,0.5070574100434558,1.4314286911269272,0.011545400513359437,1.1227469303991744,1.3937996763993328,-0.39776901788475666,-1.122906348203892,-0.009056967775880784,1.7302897788731408,-0.493798124402213,-1.3939975807343272,-0.01124349433820648,0.1409223996121292,0.397825496742012,0.0032087205760118614,1.123065788644197,0.009058253766410916,7.306068987797539e-05,0
