,PanelA_A,PanelA_B,PanelB_A,PanelB_B,PanelC_A,PanelC_B,PanelD_A,PanelD_B,PanelE_A,PanelE_B,PanelF_A,PanelF_B,PanelF_C,PanelF_D,PanelG_A,PanelG_B,PanelG_C,PanelG_D,PanelH_A,PanelH_B,PanelH_C,PanelH_D,PanelH_E,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor1*Sensor1,Sensor1*Sensor2,Sensor1*Sensor3,Sensor1*Sensor4,Sensor1*Sensor5,Sensor1*Sensor6,Sensor1*Sensor7,Sensor1*Sensor8,Sensor2*Sensor2,Sensor2*Sensor3,Sensor2*Sensor4,Sensor2*Sensor5,Sensor2*Sensor6,Sensor2*Sensor7,Sensor2*Sensor8,Sensor3*Sensor3,Sensor3*Sensor4,Sensor3*Sensor5,Sensor3*Sensor6,Sensor3*Sensor7,Sensor3*Sensor8,Sensor4*Sensor4,Sensor4*Sensor5,Sensor4*Sensor6,Sensor4*Sensor7,Sensor4*Sensor8,Sensor5*Sensor5,Sensor5*Sensor6,Sensor5*Sensor7,Sensor5*Sensor8,Sensor6*Sensor6,Sensor6*Sensor7,Sensor6*Sensor8,Sensor7*Sensor7,Sensor7*Sensor8,Sensor8*Sensor8,Target
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.93,1.61,102.08,3.0,3.0,1.02,0.03,1.0,672.3649,41.7473,2646.9344,77.78999999999999,77.78999999999999,26.4486,0.7778999999999999,25.93,2.5921000000000003,164.3488,4.83,4.83,1.6422,0.0483,1.61,10420.3264,306.24,306.24,104.1216,3.0624,102.08,9.0,9.0,3.06,0.09,3.0,9.0,3.06,0.09,3.0,1.0404,0.0306,1.02,0.0009,0.03,1.0,4
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,24.63,1.83,120.98,2.64,3.0,2.74,2.0,0.5,606.6369,45.0729,2979.7374,65.0232,73.89,67.4862,49.26,12.315,3.3489000000000004,221.3934,4.831200000000001,5.49,5.014200000000001,3.66,0.915,14636.1604,319.3872,362.94,331.4852,241.96,60.49,6.969600000000001,7.92,7.233600000000001,5.28,1.32,9.0,8.22,6.0,1.5,7.507600000000001,5.48,1.37,4.0,1.0,0.25,3
2,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.99,1.66,105.12,3.0,3.0,1.63,0.01,0.41,675.4800999999999,43.14339999999999,2732.0688,77.97,77.97,42.363699999999994,0.25989999999999996,10.655899999999999,2.7556,174.4992,4.9799999999999995,4.9799999999999995,2.7057999999999995,0.0166,0.6805999999999999,11050.2144,315.36,315.36,171.3456,1.0512000000000001,43.099199999999996,9.0,9.0,4.89,0.03,1.23,9.0,4.89,0.03,1.23,2.6569,0.0163,0.6682999999999999,0.0001,0.0040999999999999995,0.16809999999999997,4
3,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.04,1.76,88.53,1.97,1.08,2.0,0.0,0.46,627.0015999999999,44.0704,2216.7912,49.3288,27.043200000000002,50.08,0.0,11.5184,3.0976,155.8128,3.4672,1.9008,3.52,0.0,0.8096,7837.5609,174.4041,95.61240000000001,177.06,0.0,40.723800000000004,3.8809,2.1276,3.94,0.0,0.9062,1.1664,2.16,0.0,0.4968000000000001,4.0,0.0,0.92,0.0,0.0,0.2116,6
4,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,43.73,1.59,77.0,2.0,3.0,2.81,0.0,0.0,1912.3128999999997,69.5307,3367.2099999999996,87.46,131.19,122.8813,0.0,0.0,2.5281000000000002,122.43,3.18,4.7700000000000005,4.4679,0.0,0.0,5929.0,154.0,231.0,216.37,0.0,0.0,4.0,6.0,5.62,0.0,0.0,9.0,8.43,0.0,0.0,7.896100000000001,0.0,0.0,0.0,0.0,0.0,2
5,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,17.52,1.76,52.09,2.21,2.64,2.12,1.0,0.86,306.9504,30.8352,912.6168,38.7192,46.2528,37.1424,17.52,15.0672,3.0976,91.67840000000001,3.8896,4.6464,3.7312000000000003,1.76,1.5136,2713.3681,115.11890000000001,137.51760000000002,110.43080000000002,52.09,44.7974,4.8841,5.8344000000000005,4.6852,2.21,1.9005999999999998,6.969600000000001,5.596800000000001,2.64,2.2704,4.494400000000001,2.12,1.8232000000000002,1.0,0.86,0.7395999999999999,0
6,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.11,1.86,88.97,2.0,3.0,1.02,0.0,0.37,365.1921,35.5446,1700.2167,38.22,57.33,19.4922,0.0,7.0706999999999995,3.4596000000000005,165.48420000000002,3.72,5.58,1.8972000000000002,0.0,0.6882,7915.6609,177.94,266.90999999999997,90.7494,0.0,32.9189,4.0,6.0,2.04,0.0,0.74,9.0,3.06,0.0,1.1099999999999999,1.0404,0.0,0.3774,0.0,0.0,0.1369,5
7,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,20.1,1.62,104.3,2.87,1.63,1.38,0.21,1.16,404.01000000000005,32.562000000000005,2096.4300000000003,57.687000000000005,32.763,27.738,4.221,23.316,2.6244000000000005,168.966,4.649400000000001,2.6406,2.2356,0.3402,1.8792,10878.49,299.341,170.009,143.934,21.903,120.98799999999999,8.2369,4.6781,3.9606,0.6027,3.3291999999999997,2.6569,2.2493999999999996,0.34229999999999994,1.8907999999999998,1.9043999999999996,0.28979999999999995,1.6007999999999998,0.04409999999999999,0.24359999999999998,1.3456,3
8,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.62,105.01,3.0,3.0,1.29,0.0,0.54,676.0,42.120000000000005,2730.26,78.0,78.0,33.54,0.0,14.040000000000001,2.6244000000000005,170.11620000000002,4.86,4.86,2.0898000000000003,0.0,0.8748000000000001,11027.100100000001,315.03000000000003,315.03000000000003,135.46290000000002,0.0,56.705400000000004,9.0,9.0,3.87,0.0,1.62,9.0,3.87,0.0,1.62,1.6641000000000001,0.0,0.6966000000000001,0.0,0.0,0.2916,4
10,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22.52,1.75,133.69,3.0,3.0,2.05,1.41,0.65,507.1504,39.41,3010.6987999999997,67.56,67.56,46.166,31.753199999999996,14.638,3.0625,233.95749999999998,5.25,5.25,3.5874999999999995,2.4675,1.1375,17873.0161,401.07,401.07,274.06449999999995,188.50289999999998,86.8985,9.0,9.0,6.1499999999999995,4.2299999999999995,1.9500000000000002,9.0,6.1499999999999995,4.2299999999999995,1.9500000000000002,4.2025,2.8904999999999994,1.3325,1.9880999999999998,0.9165,0.42250000000000004,4
