,PanelA_A,PanelA_B,PanelB_A,PanelB_B,PanelC_A,PanelC_B,PanelD_A,PanelD_B,PanelE_A,PanelE_B,PanelF_A,PanelF_B,PanelF_C,PanelF_D,PanelG_A,PanelG_B,PanelG_C,PanelG_D,PanelH_A,PanelH_B,PanelH_C,PanelH_D,PanelH_E,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Target
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.024087675287996907,0.01198023256411075,0.02742997842749452,0.029320641018408956,0.02600038909006727,0.011637524296652197,0.0005486767037613082,0.026868181411152475,4
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.022880040198355718,0.013617282976597932,0.03250860883775752,0.025802164096199884,0.02600038909006727,0.03126158487532061,0.03657844691742055,0.013434090705576237,3
2,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.02414341229213419,0.012352289476039653,0.028246858662796085,0.029320641018408956,0.02600038909006727,0.01859722019955204,0.00018289223458710276,0.011015954378572515,4
3,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.02326090972662717,0.013096403299897464,0.02378894974712079,0.019253887602088546,0.009360140072424217,0.022818675091474897,0.0,0.01235936344913014,6
4,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.04062298651539162,0.011831409799339188,0.020690716486256644,0.01954709401227264,0.02600038909006727,0.03206023850352223,0.0,0.0,2
5,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.01627520520808738,0.013096403299897464,0.013997135347650761,0.021599538883561264,0.022880342399259197,0.024187795596963393,0.018289223458710275,0.023106636013591128,0
6,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.017752235817725448,0.013840517123755275,0.02390718241275654,0.01954709401227264,0.02600038909006727,0.011637524296652197,0.0,0.009941227122126415,5
7,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.018671896385990663,0.01205464394649653,0.028026515967747634,0.028050079907611235,0.014126878072269882,0.015744885813117677,0.0038407369263291575,0.03116709043693687,3
8,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.02415270179282374,0.01205464394649653,0.028217300496387144,0.029320641018408956,0.02600038909006727,0.01471804543400131,0.0,0.014508817962022337,4
9,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0.021365851585959463,0.012426700858425434,0.020153295278821405,0.01954709401227264,0.02600038909006727,0.022818675091474897,0.0,0.05373636282230495,5
10,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.020919955552861177,0.013021991917511683,0.03592392061100845,0.029320641018408956,0.02600038909006727,0.023389141968761767,0.025787805076781484,0.01746431791724911,4
11,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.028045002581744184,0.013096403299897464,0.03012245867674506,0.013585230338529482,0.02600038909006727,0.023046861842389646,0.0,0.019613772430141306,3
12,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.024756519337644334,0.013319637447054809,0.02237284486552894,0.012510140167854488,0.034667185453423024,0.02852334386434362,0.0,0.026868181411152475,5
13,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.02094782405492982,0.01212905532888231,0.01880974226023331,0.01954709401227264,0.008666796363355756,0.03194614512806485,0.004572305864677569,0.0,5
14,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.031333485825844026,0.012501112240811216,0.020123737112412467,0.029320641018408956,0.00988014785422556,0.011409337545737449,0.0047551980992646715,0.0,5
15,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0.015792151172230907,0.012426700858425434,0.016122636223057124,0.01954709401227264,0.034667185453423024,0.022818675091474897,0.0,0.05373636282230495,1
16,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.01585717767705774,0.01272434638796856,0.026747453494051773,0.01954709401227264,0.02600038909006727,0.022818675091474897,0.03164035658356878,0.0013434090705576238,2
17,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.020436901517004703,0.012575523623196997,0.013733798956007494,0.029320641018408956,0.032240482471683415,0.020194527455955284,0.0018289223458710275,0.01746431791724911,0
18,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.021152193070099867,0.013914928506141056,0.03265639966980221,0.026779518796813517,0.023747022035594773,0.020764994333242158,0.0199352535699942,0.0,3
19,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.03232746239962562,0.012575523623196997,0.013435530185880937,0.025899899566261243,0.03293382618075187,0.018254940073179918,0.003109167987980747,0.0026868181411152476,0
20,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.015875756678436836,0.011459352887410281,0.015386369168870848,0.019253887602088546,0.020280303490252467,0.019509967203211038,0.0018289223458710275,0.03197313587927145,5
21,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.022406275663188795,0.013840517123755275,0.02576665979048246,0.010946372646872678,0.021233651090221604,0.022818675091474897,0.017008977816600556,0.05293031737997038,6
22,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0.016721101241185667,0.013691694358983713,0.016122636223057124,0.029320641018408956,0.034667185453423024,0.022818675091474897,0.03657844691742055,0.0,0
23,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.02246201266732608,0.013170814682283245,0.026185848332281946,0.01954709401227264,0.02600038909006727,0.033885732510840226,0.04554016641218859,0.036809408533278895,2
24,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.020743455039759773,0.011905821181724969,0.012070480318995434,0.028245550847733964,0.020193635526618913,0.02635556973065351,0.025970697311368588,0.0,0
25,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.016721101241185667,0.01279875777035434,0.014241661997033793,0.01954709401227264,0.02600038909006727,0.022818675091474897,0.0,0.05373636282230495,0
26,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0.018811238896333876,0.011682587034567624,0.011103122145612007,0.023358777344665804,0.008666796363355756,0.011409337545737449,0.0,0.01988245424425283,0
27,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.023790411265931385,0.012426700858425434,0.0303320529476448,0.029320641018408956,0.02600038909006727,0.03411391926175497,0.006584120445135699,0.004567590839895921,4
28,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.019554398951497683,0.013021991917511683,0.035966914307603265,0.029320641018408956,0.02600038909006727,0.033657545759925474,0.0265193740151299,0.01800168154547216,4
29,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0.021774589616299557,0.011905821181724969,0.011981805819768621,0.025313486745893066,0.01629357716310882,0.021905928087815902,0.007681473852658315,0.0,0
30,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.016721101241185667,0.013319637447054809,0.013972951393316174,0.029320641018408956,0.02600038909006727,0.022818675091474897,0.018289223458710275,0.026868181411152475,0
31,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.021672405108714533,0.013021991917511683,0.03209479450803238,0.018472003841597643,0.02600038909006727,0.022818675091474897,0.03511530904072373,0.025256090526483324,3
32,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.02922476916931673,0.013914928506141056,0.03462873550108953,0.028929699138163505,0.02600038909006727,0.014603952058543935,0.01646030111283925,0.05051218105296665,3
33,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.017603603806692687,0.01205464394649653,0.019376721634077488,0.029320641018408956,0.033627169889820334,0.022818675091474897,0.018289223458710275,0.026868181411152475,6
34,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.015829309174989096,0.01339404882944059,0.02564036580673518,0.01954709401227264,0.02600038909006727,0.03422801263721235,0.01920368463164579,0.024987408712371803,6
35,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.021365851585959463,0.012203466711268091,0.022663052317543966,0.021306332473377175,0.02600038909006727,0.031033398124405864,0.040784968312923914,0.0018807726987806735,2
36,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0.01820742135151328,0.011682587034567624,0.011207919281061877,0.029027434608224868,0.008666796363355756,0.012892551426683316,0.0,0.013434090705576237,0
37,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.019387187939085827,0.012575523623196997,0.03487057504443539,0.029320641018408956,0.02600038909006727,0.013120738177598065,0.031457464348981674,0.025793454154706377,4
38,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.02693026249899847,0.01421257403568418,0.03489744610480715,0.021599538883561264,0.02600038909006727,0.016885819567691425,0.02030103803916841,0.0,3
39,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.03808695282714513,0.013021991917511683,0.03170785123867901,0.01954709401227264,0.02600038909006727,0.022818675091474897,0.0,0.0,3
40,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.016721101241185667,0.013245226064669028,0.02934588503200114,0.01954709401227264,0.016206909199475265,0.027838783611599374,0.018289223458710275,0.02149454512892198,2
41,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.017854420325310472,0.01346846021182637,0.023310644872503426,0.01954709401227264,0.02600038909006727,0.024758262474250264,0.017923438989536068,0.003761545397561347,5
42,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.019507951448049943,0.01272434638796856,0.026871060371761873,0.01954709401227264,0.008666796363355756,0.022818675091474897,0.0,0.05373636282230495,2
43,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0.019507951448049943,0.01212905532888231,0.016122636223057124,0.029320641018408956,0.02600038909006727,0.022818675091474897,0.03657844691742055,0.0,1
