,PanelA_A,PanelA_B,PanelB_A,PanelB_B,PanelC_A,PanelC_B,PanelD_A,PanelD_B,PanelE_A,PanelE_B,PanelF_A,PanelF_B,PanelF_C,PanelF_D,PanelG_A,PanelG_B,PanelG_C,PanelG_D,PanelH_A,PanelH_B,PanelH_C,PanelH_D,PanelH_E,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Target
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.14096887036084638,-0.06614177671884507,0.6053960828394964,1.0595975322730675,0.4035977088671232,-1.5109684245226702,-1.1413412521301936,0.5566144821646818,4
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.019535576448509742,0.014758837514443512,1.330738423348534,0.4055889494628508,0.4035977088671232,1.0932769274161962,1.1549264492625488,-0.2507598560904662,3
2,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.14837676790589344,-0.047755273484006815,0.7220649037467703,1.0595975322730675,0.4035977088671232,-0.5873697822652818,-1.1646536145808812,-0.39608723697639286,4
3,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.03108505677597949,-0.010982267014330152,0.08537551596661531,-0.8115936907672757,-2.0278878583747857,-0.027154212371455797,-1.1763097958062252,-0.315349803150878,6
4,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2.3386451420581826,-0.0734963780127804,-0.3571216896455117,-0.757092975533091,0.4035977088671232,1.1992636568555683,-1.1763097958062252,-1.0581341943456142,2
5,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.8973714355366031,-0.010982267014330152,-1.3131152188561,-0.3755879688937977,-0.052305834990734594,0.15453732381032573,-0.010691673271838162,0.3305496674532403,0
6,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.7010621505928523,0.02579073945534651,0.10226179267687853,-0.757092975533091,0.4035977088671232,-1.5109684245226702,-1.1763097958062252,-0.4606771840368047,5
7,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,-0.5788318410995732,-0.0624644760718774,0.6905950244230976,0.8234277662582672,-1.331368555258614,-0.9658938159773263,-0.9315299900740039,0.814974270406329,3
8,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0.14961141749673482,-0.0624644760718774,0.7178433345692046,1.0595975322730675,0.4035977088671232,-1.1021624681136621,-1.1763097958062252,-0.18616990903005431,4
9,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,-0.22078345975562527,-0.044077972837039146,-0.43387749287398125,-0.757092975533091,0.4035977088671232,-0.027154212371455797,-1.1763097958062252,2.171363158674978,5
