,PanelA_A,PanelA_B,PanelB_A,PanelB_B,PanelC_A,PanelC_B,PanelD_A,PanelD_B,PanelE_A,PanelE_B,PanelF_A,PanelF_B,PanelF_C,PanelF_D,PanelG_A,PanelG_B,PanelG_C,PanelG_D,PanelH_A,PanelH_B,PanelH_C,PanelH_D,PanelH_E,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Target
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.93,1.61,102.08,3.0,3.0,1.02,0.03,1.0,4
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,24.63,1.83,120.98,2.64,3.0,2.74,2.0,0.5,3
2,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.99,1.66,105.12,3.0,3.0,1.63,0.01,0.41,4
5,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,17.52,1.76,52.09,2.21,2.64,2.12,1.0,0.86,0
6,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.11,1.86,88.97,2.0,3.0,1.02,0.0,0.37,5
7,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,20.1,1.62,104.3,2.87,1.63,1.38,0.21,1.16,3
8,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,26.0,1.62,105.01,3.0,3.0,1.29,0.0,0.54,4
10,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22.52,1.75,133.69,3.0,3.0,2.05,1.41,0.65,4
11,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,30.19,1.76,112.1,1.39,3.0,2.02,0.0,0.73,3
14,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,33.73,1.68,74.89,3.0,1.14,1.0,0.26,0.0,5
16,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,17.07,1.71,99.54,2.0,3.0,2.0,1.73,0.05,2
17,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,22.0,1.69,51.11,3.0,3.72,1.77,0.1,0.65,0
18,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,22.77,1.87,121.53,2.74,2.74,1.82,1.09,0.0,3
19,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,34.8,1.69,50.0,2.65,3.8,1.6,0.17,0.1,0
20,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,17.09,1.54,57.26,1.97,2.34,1.71,0.1,1.19,5
22,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,18.0,1.84,60.0,3.0,4.0,2.0,2.0,0.0,0
23,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,24.18,1.77,97.45,2.0,3.0,2.97,2.49,1.37,2
24,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,22.33,1.6,44.92,2.89,2.33,2.31,1.42,0.0,0
27,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,25.61,1.67,112.88,3.0,3.0,2.99,0.36,0.17,4
28,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,21.05,1.75,133.85,3.0,3.0,2.95,1.45,0.67,4
29,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,23.44,1.6,44.59,2.59,1.88,1.92,0.42,0.0,0
30,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.0,1.79,52.0,3.0,3.0,2.0,1.0,1.0,0
31,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,23.33,1.75,119.44,1.89,3.0,2.0,1.92,0.94,3
32,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,31.46,1.87,128.87,2.96,3.0,1.28,0.9,1.88,3
33,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,18.95,1.62,72.11,3.0,3.88,2.0,1.0,1.0,6
34,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,17.04,1.8,95.42,2.0,3.0,3.0,1.05,0.93,6
35,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,23.0,1.64,84.34,2.18,3.0,2.72,2.23,0.07,2
37,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,20.87,1.69,129.77,3.0,3.0,1.15,1.72,0.96,4
38,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,28.99,1.91,129.87,2.21,3.0,1.48,1.11,0.0,3
40,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,18.0,1.78,109.21,2.0,1.87,2.44,1.0,0.8,2
41,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,19.22,1.81,86.75,2.0,3.0,2.17,0.98,0.14,5
